y,Company,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.0,318.0,70.0,56.0,11.0,60.0
2.75,322.0,83.0,56.0,12.0,8.0
2.75,404.0,75.0,56.0,12.0,16.0
2.75,54.0,69.0,9.0,12.0,9.0
3.5,69.0,73.0,56.0,11.0,18.0
3.5,231.0,62.0,56.0,8.0,46.0
2.5,7.0,75.0,18.0,12.0,46.0
3.75,368.0,72.0,19.0,11.0,2.0
3.25,198.0,72.0,56.0,12.0,18.0
4.0,288.0,70.0,14.0,12.0,9.0
3.5,139.0,78.0,30.0,6.0,46.0
3.25,379.0,56.0,18.0,12.0,63.0
3.75,337.0,70.0,2.0,11.0,60.0
3.25,19.0,72.0,55.0,12.0,12.0
3.0,270.0,75.0,56.0,11.0,2.0
3.75,357.0,70.0,24.0,12.0,46.0
2.5,158.0,85.0,56.0,3.0,29.0
3.0,0.0,70.0,18.0,12.0,59.0
3.5,39.0,70.0,56.0,12.0,27.0
3.25,9.0,60.0,56.0,12.0,46.0
3.25,289.0,70.0,7.0,11.0,60.0
3.5,294.0,67.0,56.0,11.0,37.0
2.0,363.0,70.0,56.0,12.0,46.0
4.0,288.0,70.0,14.0,12.0,46.0
3.0,273.0,70.0,56.0,6.0,67.0
3.75,0.0,63.0,18.0,12.0,51.0
2.5,87.0,82.0,46.0,8.0,19.0
3.75,277.0,70.0,46.0,8.0,10.0
3.0,302.0,100.0,18.0,6.0,37.0
3.25,203.0,56.0,18.0,12.0,19.0
3.5,167.0,61.0,56.0,3.0,63.0
2.5,65.0,77.0,14.0,8.0,19.0
3.0,103.0,70.0,19.0,11.0,67.0
3.0,366.0,75.0,56.0,3.0,23.0
3.5,14.0,70.0,29.0,11.0,60.0
3.5,220.0,70.0,56.0,12.0,4.0
4.0,127.0,70.0,55.0,6.0,27.0
2.75,281.0,67.0,56.0,12.0,23.0
3.75,87.0,70.0,46.0,8.0,46.0
3.0,232.0,70.0,39.0,12.0,46.0
3.5,127.0,70.0,55.0,6.0,41.0
3.0,125.0,100.0,29.0,6.0,67.0
3.5,156.0,70.0,12.0,12.0,41.0
3.25,316.0,68.0,32.0,11.0,37.0
2.75,278.0,100.0,36.0,12.0,50.0
3.25,106.0,85.0,56.0,8.0,19.0
3.5,278.0,70.0,36.0,12.0,50.0
3.25,78.0,82.0,19.0,11.0,2.0
3.5,174.0,72.0,56.0,12.0,29.0
3.0,212.0,74.0,56.0,12.0,18.0
3.75,284.0,70.0,25.0,11.0,57.0
3.25,303.0,72.0,55.0,11.0,37.0
2.75,283.0,80.0,20.0,8.0,23.0
3.25,156.0,70.0,12.0,6.0,41.0
4.0,69.0,72.0,56.0,11.0,2.0
3.0,282.0,85.0,7.0,12.0,7.0
3.5,291.0,65.0,56.0,12.0,53.0
2.5,179.0,80.0,55.0,8.0,62.0
3.25,89.0,65.0,7.0,12.0,40.0
2.5,299.0,73.0,56.0,11.0,21.0
3.75,180.0,70.0,7.0,8.0,67.0
3.25,299.0,73.0,56.0,11.0,37.0
3.5,363.0,70.0,56.0,8.0,4.0
3.75,318.0,75.0,56.0,12.0,30.0
3.0,200.0,75.0,56.0,11.0,67.0
